# step  beta  Energy
964  0.500000  -498.531886
965  0.500000  -497.151714
966  0.500000  -497.213739
967  0.500000  -497.213739
968  0.500000  -497.213739
969  0.500000  -497.213739
970  0.500000  -497.134796
971  0.500000  -498.611010
972  0.500000  -502.378626
973  0.500000  -504.584659
974  0.500000  -504.584659
975  0.500000  -504.433762
976  0.500000  -504.429236
977  0.500000  -505.861552
978  0.500000  -505.546614
979  0.500000  -508.183466
980  0.500000  -508.183466
981  0.500000  -506.490800
982  0.500000  -506.490800
983  0.500000  -507.201509
984  0.500000  -507.895873
985  0.500000  -509.401136
986  0.500000  -510.919414
987  0.500000  -510.919414
988  0.500000  -513.305991
989  0.500000  -512.236081
990  0.500000  -514.535021
991  0.500000  -512.616164
992  0.500000  -512.616164
993  0.500000  -514.344140
994  0.500000  -514.535896
995  0.500000  -516.577953
996  0.500000  -514.537442
997  0.500000  -514.682926
998  0.500000  -514.270562
999  0.500000  -515.731022
1000  0.500000  -515.722380
1001  0.500000  -514.930285
1002  0.500000  -515.272757
1003  0.500000  -516.419128
1004  0.500000  -516.313699
1005  0.500000  -517.508114
1006  0.500000  -517.494779
1007  0.500000  -520.545926
1008  0.500000  -520.546448
1009  0.500000  -520.992661
1010  0.500000  -521.039982
1011  0.500000  -519.550470
1012  0.500000  -519.550470
1013  0.500000  -521.585290
1014  0.500000  -520.883801
1015  0.500000  -523.008492
1016  0.500000  -523.064683
1017  0.500000  -523.064683
1018  0.500000  -523.633352
1019  0.500000  -527.221119
1020  0.500000  -526.897634
1021  0.500000  -526.043057
1022  0.500000  -526.043057
1023  0.500000  -527.930823
1024  0.500000  -527.519573
1025  0.500000  -529.202035
1026  0.500000  -529.202035
1027  0.500000  -527.957871
1028  0.500000  -536.896539
1029  0.500000  -535.811919
1030  0.500000  -535.811919
1031  0.500000  -535.179722
1032  0.500000  -538.602851
1033  0.500000  -538.602851
1034  0.500000  -538.602851
1035  0.500000  -537.966536
1036  0.500000  -538.980286
1037  0.500000  -539.258400
1038  0.500000  -539.540738
1039  0.500000  -539.540738
1040  0.500000  -539.540738
1041  0.500000  -541.607393
1042  0.500000  -540.546903
1043  0.500000  -540.546903
1044  0.500000  -541.754534
1045  0.500000  -541.893640
1046  0.500000  -541.893640
1047  0.500000  -541.893640
